epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
107,211.66,1.03479,0.72487,0.9728,0.61024,0.63163,0.59901,0.35497,1.63906,1.53389,1.41919,0.003004,0.003004,0.003004
108,213.643,1.03403,0.72554,0.97705,0.69912,0.55382,0.59625,0.35304,1.64613,1.54531,1.44206,0.002938,0.002938,0.002938
109,215.601,1.02704,0.72778,0.97515,0.68866,0.58481,0.59539,0.34202,1.65228,1.51765,1.44109,0.002872,0.002872,0.002872
110,217.572,1.02869,0.7144,0.96961,0.64568,0.59201,0.59028,0.34431,1.61753,1.55613,1.40623,0.002806,0.002806,0.002806
111,219.582,1.01622,0.71334,0.97637,0.64496,0.62717,0.60924,0.34945,1.64342,1.55162,1.41349,0.00274,0.00274,0.00274
112,221.537,1.01666,0.71512,0.9697,0.71225,0.58699,0.6241,0.36698,1.60117,1.4576,1.38998,0.002674,0.002674,0.002674
113,223.518,1.00084,0.70705,0.97063,0.6743,0.59585,0.62151,0.36529,1.62588,1.51561,1.39197,0.002608,0.002608,0.002608
114,225.515,0.99686,0.69412,0.96483,0.68448,0.58675,0.60468,0.35729,1.64364,1.51852,1.41138,0.002542,0.002542,0.002542
115,227.462,0.98886,0.68483,0.96369,0.66395,0.608,0.61564,0.36073,1.63732,1.56055,1.40778,0.002476,0.002476,0.002476
116,229.443,0.98919,0.6938,0.96981,0.67393,0.60983,0.60814,0.3572,1.62446,1.53859,1.39284,0.00241,0.00241,0.00241
117,231.372,0.99268,0.69246,0.96921,0.72447,0.56723,0.60366,0.3568,1.62885,1.49485,1.39479,0.002344,0.002344,0.002344
118,233.341,0.97542,0.67411,0.95554,0.60343,0.63025,0.59506,0.34739,1.59929,1.54715,1.38118,0.002278,0.002278,0.002278
119,235.256,0.98078,0.68318,0.9648,0.65029,0.61132,0.60084,0.34986,1.60271,1.51348,1.3722,0.002212,0.002212,0.002212
120,237.209,0.97999,0.67311,0.96109,0.63885,0.61505,0.59713,0.35247,1.59649,1.50412,1.39019,0.002146,0.002146,0.002146
121,239.116,0.97214,0.66596,0.96567,0.65168,0.61571,0.61391,0.36133,1.62035,1.51469,1.41109,0.00208,0.00208,0.00208
122,241.05,0.97803,0.67936,0.96071,0.66611,0.5977,0.61464,0.36258,1.64635,1.49433,1.41512,0.002014,0.002014,0.002014
123,243.035,0.96625,0.66861,0.96096,0.62764,0.61534,0.60564,0.35466,1.62348,1.48729,1.39121,0.001948,0.001948,0.001948
124,244.967,0.9468,0.65773,0.95663,0.66901,0.6124,0.61681,0.3611,1.59955,1.4943,1.37016,0.001882,0.001882,0.001882
125,246.875,0.96173,0.66319,0.95665,0.67473,0.59884,0.60104,0.34822,1.62987,1.49869,1.4025,0.001816,0.001816,0.001816
126,248.815,0.96446,0.67157,0.96062,0.67995,0.6059,0.60952,0.35562,1.62939,1.49027,1.39799,0.00175,0.00175,0.00175
127,250.801,0.95122,0.66291,0.95274,0.66203,0.6095,0.6118,0.36102,1.61635,1.48075,1.3987,0.001684,0.001684,0.001684
128,252.842,0.94242,0.65818,0.95182,0.66166,0.62312,0.61443,0.36788,1.61052,1.48134,1.39184,0.001618,0.001618,0.001618
129,254.835,0.95183,0.66068,0.9591,0.70957,0.5858,0.6219,0.37428,1.58624,1.48115,1.38934,0.001552,0.001552,0.001552
130,256.98,0.93183,0.64744,0.95039,0.68352,0.60101,0.60543,0.35765,1.60973,1.51874,1.41611,0.001486,0.001486,0.001486
131,259.047,0.94076,0.64942,0.95169,0.68365,0.58452,0.61361,0.36723,1.59323,1.50169,1.4096,0.00142,0.00142,0.00142
132,261.169,0.95098,0.65882,0.96248,0.66208,0.60706,0.59344,0.35569,1.61255,1.49287,1.42194,0.001354,0.001354,0.001354
133,263.326,0.91701,0.63084,0.94271,0.68764,0.60466,0.61125,0.37416,1.60972,1.48252,1.42163,0.001288,0.001288,0.001288
134,265.368,0.92021,0.62593,0.93797,0.6782,0.61727,0.60539,0.36719,1.6107,1.46382,1.44265,0.001222,0.001222,0.001222
135,267.466,0.90921,0.61524,0.94168,0.66957,0.62288,0.60979,0.37256,1.59511,1.44277,1.40911,0.001156,0.001156,0.001156
136,269.448,0.91237,0.62616,0.94521,0.66221,0.60694,0.58563,0.35129,1.58562,1.46883,1.40692,0.00109,0.00109,0.00109
137,271.504,0.91057,0.61865,0.94449,0.65631,0.612,0.60491,0.35908,1.57078,1.49022,1.39684,0.001024,0.001024,0.001024
138,273.796,0.8958,0.60973,0.93415,0.68297,0.60416,0.6046,0.36475,1.56273,1.51471,1.39471,0.000958,0.000958,0.000958
139,275.943,0.89083,0.60966,0.94279,0.67472,0.61432,0.60641,0.36945,1.56333,1.54535,1.39935,0.000892,0.000892,0.000892
140,278.022,0.90015,0.61066,0.94199,0.65843,0.61282,0.6136,0.37184,1.55698,1.51252,1.37675,0.000826,0.000826,0.000826
141,294.247,0.83707,0.56286,0.93485,0.67615,0.59662,0.58967,0.35403,1.56513,1.51551,1.38296,0.00076,0.00076,0.00076
142,296.192,0.80226,0.54158,0.92525,0.67568,0.59065,0.59106,0.3526,1.58172,1.52076,1.39515,0.000694,0.000694,0.000694
143,298.141,0.79199,0.53328,0.91817,0.6404,0.63155,0.60801,0.3631,1.59047,1.51159,1.39796,0.000628,0.000628,0.000628
144,300.07,0.7937,0.5326,0.92382,0.70051,0.60636,0.61281,0.36712,1.57941,1.4852,1.38727,0.000562,0.000562,0.000562
145,301.992,0.77659,0.5208,0.92257,0.67238,0.60803,0.60859,0.3642,1.58332,1.52418,1.38485,0.000496,0.000496,0.000496
146,303.936,0.76627,0.51503,0.91428,0.6747,0.59671,0.6003,0.35771,1.58379,1.52137,1.37645,0.00043,0.00043,0.00043
147,305.849,0.77442,0.53391,0.92575,0.69199,0.58345,0.60705,0.36271,1.58665,1.52001,1.37913,0.000364,0.000364,0.000364
148,307.768,0.7718,0.51453,0.91186,0.69661,0.58627,0.60883,0.36191,1.58121,1.52808,1.373,0.000298,0.000298,0.000298
149,309.769,0.75098,0.51228,0.90251,0.69616,0.58375,0.6102,0.36756,1.57366,1.52728,1.37028,0.000232,0.000232,0.000232
150,311.714,0.75834,0.50353,0.91075,0.70576,0.57529,0.61128,0.36656,1.5759,1.52958,1.3767,0.000166,0.000166,0.000166
